from,to,time,amount,type,notes
"Po8","Ekardsille","2012-11-26 04:28:53","95.040000","SELL","dotlizard"
"Po8","veechee","2012-11-26 04:29:07","26.640000","SELL","dotlizard"
"Po8","Ekardsille","2012-11-26 04:29:18","587.325000","SELL","dotlizard"
"Po8","veechee","2012-11-26 04:29:30","672.320000","SELL","dotlizard"
"Po8","veechee","2012-11-26 04:30:16","8.340000","SELL","dotlizard"
"Po8","veechee","2012-11-26 04:30:30","177.525000","SELL","dotlizard"
"Po8","rabi","2012-11-26 04:30:44","565.920000","SELL","dotlizard"
"veechee","Po8","2012-11-26 04:31:01","28.000000","BUY","dotlizard"
"Po8","rabi","2012-11-26 07:14:11","844.480000","SELL","dotlizard"
"Po8","rabi","2012-11-26 11:18:18","1443.960000","SELL","atlasrune"
"Po8","atlasrune","2012-11-26 11:19:13","31.620000","SELL","atlasrune"
"Po8","rabi","2012-11-26 12:26:16","1031.740000","SELL","Butlerlog"
"Megleris","daesoph","2012-11-26 12:38:19","2060.000000","P2P_TRANSFER","--"
"dotlizard","Po8","2012-11-26 14:18:08","262.400000","BUY","Megleris"
"riegel2rebuild","veechee","2012-11-26 15:18:59","310.000000","P2P_TRANSFER","--"
"PickleMan","Po8","2012-11-26 16:16:30","474.880000","BUY","PatHeist"
"Ekardsille","Po8","2012-11-26 16:16:44","0.380000","BUY","PatHeist"
"Po8","veechee","2012-11-26 17:25:24","307.630000","SELL","Pyrotek"
"Ekardsille","Po8","2012-11-26 17:25:57","3.800000","BUY","Pyrotek"
"Ekardsille","Po8","2012-11-26 17:28:12","1.250000","BUY","Pyrotek"
"Po8","detonatorman","2012-11-26 17:29:15","22.835000","SELL","Pyrotek"
"Po8","Casper3641","2012-11-26 17:29:30","0.450000","SELL","Pyrotek"
"Ekardsille","Po8","2012-11-26 17:29:37","3.150000","BUY","Pyrotek"
"Po8","GreatRevival","2012-11-26 17:29:44","6431.535000","SELL","Pyrotek"
"Po8","GreatRevival","2012-11-26 17:29:57","131.715000","SELL","Pyrotek"
"Po8","GreatRevival","2012-11-26 17:30:04","275.090000","SELL","Pyrotek"
"Po8","PickleMan","2012-11-26 17:31:41","0.220000","SELL","Pyrotek"
"Po8","GreatRevival","2012-11-26 17:32:33","179.860000","SELL","Pyrotek"
"Ekardsille","Po8","2012-11-26 17:40:53","3.800000","BUY","Pyrotek"
"Po8","GreatRevival","2012-11-26 17:41:01","1178.400000","SELL","Pyrotek"
"Ekardsille","Po8","2012-11-26 17:46:42","3.350000","BUY","Pyrotek"
"PickleMan","Po8","2012-11-26 17:46:47","3.080000","BUY","Pyrotek"
"Po8","PickleMan","2012-11-26 17:47:28","158.010000","SELL","Pyrotek"
"PickleMan","Po8","2012-11-26 18:14:39","2301.750000","BUY","dotlizard"
"GreatRevival","Po8","2012-11-26 18:42:06","1563.000000","BUY","Altimeter"
"Ekardsille","Po8","2012-11-26 18:42:12","1.900000","BUY","Altimeter"
"PickleMan","Po8","2012-11-26 18:48:16","227.840000","BUY","Altimeter"
"Po8","PickleMan","2012-11-26 18:48:54","111.900000","SELL","Pyrotek"
"Ekardsille","Po8","2012-11-26 18:50:31","471.280000","BUY","Altimeter"
"PickleMan","Po8","2012-11-26 18:50:35","179.840000","BUY","Altimeter"
"Po8","Altimeter","2012-11-26 18:51:22","174.655000","SELL","Altimeter"
"PickleMan","Ulcano","2012-11-26 18:52:39","116.000000","P2P_TRANSFER","--"
"GreatRevival","Po8","2012-11-26 19:18:07","717.000000","BUY","dotlizard"
"Ekardsille","Po8","2012-11-26 19:18:25","6.600000","BUY","dotlizard"
"veechee","PickleMan","2012-11-26 19:24:53","1060.800000","P2P_TRANSFER","--"
"Ekardsille","Po8","2012-11-26 19:25:17","3.630000","BUY","Pyrotek"
"Po8","nick8041","2012-11-26 19:25:28","0.385000","SELL","Pyrotek"
"Po8","nick8041","2012-11-26 19:39:31","1.165000","SELL","Megleris"
"Po8","nick8041","2012-11-26 19:39:52","3.975000","SELL","Megleris"
"Po8","nick8041","2012-11-26 19:39:58","24.645000","SELL","Megleris"
